nm,pres_stat,bnf_code
Mexiletine 250mg/10ml solution for injection ampoules,1,0203020P0AAACAC
Tropisetron 5mg/5ml solution for injection ampoules,1,0406000Y0AAAAAA
Tropisetron 2mg/2ml solution for injection ampoules,1,0406000Y0AAACAC
Tacrolimus 5mg/1ml solution for infusion ampoules,1,0802020T0AAACAC
Calcium folinate 30mg/10ml solution for injection ampoules,1,0801000I0AAAFAF
Verapamil 5mg/2ml solution for injection ampoules,1,0206020T0AAAAAA
Alfentanil 1mg/2ml solution for injection ampoules,1,1501043A0AAABAB
Alfentanil 5mg/10ml solution for injection ampoules,1,1501043A0AAACAC
Alfentanil 5mg/1ml solution for injection ampoules,1,1501043A0AAADAD
Labetalol 100mg/20ml solution for injection ampoules,1,0204000I0AAAAAA
Oxytocin 5units/1ml solution for injection ampoules,1,0701010T0AAABAB
Oxytocin 10units/1ml solution for injection ampoules,1,0701010T0AAACAC
Atracurium besilate 50mg/5ml solution for injection ampoules,1,1501050F0AAABAB
Atracurium besilate 25mg/2.5ml solution for injection ampoules,1,1501050F0AAAAAA
Bumetanide 2mg/4ml solution for injection ampoules,1,0202020D0AAABAB
Netilmicin 15mg/1.5ml solution for injection ampoules,1,0501040R0AAAAAA
Netilmicin 50mg/1ml solution for injection ampoules,1,0501040R0AAABAB
Netilmicin 100mg/1ml solution for injection ampoules,1,0501040R0AAACAC
Netilmicin 150mg/1.5ml solution for injection ampoules,1,0501040R0AAAEAE
Netilmicin 200mg/2ml solution for injection ampoules,1,0501040R0AAAFAF
Naloxone 40micrograms/2ml solution for injection ampoules,1,1501070G0AAAAAA
Midazolam 50mg/10ml solution for injection ampoules,1,1501041T0AAANAN
Dolasetron 100mg/5ml solution for injection ampoules,1,0406000Z0AAADAD
Ropivacaine 75mg/10ml solution for injection ampoules,1,1502010R0AAABAB
Ropivacaine 20mg/10ml solution for injection ampoules,1,1502010R0AAAAAA
Sodium tetradecyl sulfate 0.5% solution for injection 2ml ampoules,1,0213000T0AAACAC
Ropivacaine 100mg/10ml solution for injection ampoules,1,1502010R0AAAEAE
Sodium tetradecyl sulfate 1% solution for injection 2ml ampoules,1,0213000T0AAADAD
Tobramycin 40mg/1ml solution for injection ampoules,1,0501040U0AAAEAE
Fentanyl 500micrograms/10ml solution for injection ampoules,1,1501043F0AAABAB
Ergometrine 500micrograms/1ml solution for injection ampoules,1,0701010L0AAAAAA
Levocarnitine 1g/5ml solution for injection ampoules,1,0908010C0AAAHAH
Hydroxyprogesterone 250mg/1ml solution for injection ampoules,2,0604012J0AAAAAA
Clomipramine 25mg/2ml solution for injection ampoules,2,0403010F0AAADAD
Metaraminol 10mg/1ml solution for injection ampoules,1,0207020L0AAABAB
Mivacurium chloride 20mg/10ml solution for injection ampoules,1,1501050K0AAABAB
Mivacurium chloride 10mg/5ml solution for injection ampoules,1,1501050K0AAAAAA
Bretylium tosilate 500mg/10ml solution for injection ampoules,2,0203020E0AAACAC
Bretylium tosilate 100mg/2ml solution for injection ampoules,2,0203020E0AAAAAA
Oxycodone 10mg/1ml solution for injection ampoules,1,0407020ADAAALAL
Oxycodone 20mg/2ml solution for injection ampoules,1,0407020ADAAAMAM
Methoxamine 20mg/1ml solution for injection ampoules,1,0207020N0AAAAAA
Milrinone 10mg/10ml solution for infusion ampoules,1,0201020M0AAAAAA
Sermorelin 50microgram powder and solvent for solution for injection ampoules,1,0605010U0AAAAAA
Etamsylate 250mg/2ml solution for injection ampoules,2,0211000D0AAAAAA
Fosfestrol 300mg/5ml solution for injection ampoules,2,0803010D0AAACAC
Dicobalt edetate 300mg/20ml solution for injection ampoules,1,1902070C0AAAAAA
Dopamine 200mg/5ml solution for infusion ampoules,1,0207010F0AAAAAA
Dopamine 800mg/5ml solution for infusion ampoules,1,0207010F0AAABAB
Levobupivacaine 25mg/10ml solution for injection ampoules,1,1502010V0AAAAAA
Mesna 1g/10ml solution for injection ampoules,1,0801000T0AAABAB
Mesna 400mg/4ml solution for injection ampoules,1,0801000T0AAAAAA
Levobupivacaine 50mg/10ml solution for injection ampoules,1,1502010V0AAABAB
Levobupivacaine 75mg/10ml solution for injection ampoules,1,1502010V0AAACAC
Granisetron 1mg/1ml solution for injection ampoules,1,0406000M0AAAFAF
Granisetron 3mg/3ml solution for injection ampoules,1,0406000M0AAAAAA
Calcium folinate 50mg/5ml solution for injection ampoules,1,0801000I0AABGBG
Alprostadil 500micrograms/1ml solution for infusion ampoules,1,0701011D0AAABAB
Midazolam 5mg/5ml solution for injection ampoules,1,1501041T0AAASAS
Midazolam 2mg/2ml solution for injection ampoules,1,1501041T0AAATAT
Dinoprostone 5mg/0.5ml solution for infusion ampoules,1,0701010I0AAADAD
Dinoprostone 750micrograms/0.75ml solution for infusion ampoules,1,0701010I0AAAEAE
Dimercaprol 100mg/2ml solution for injection ampoules,1,1902070D0AAAAAA
Gestonorone 200mg/2ml solution for injection ampoules,1,0803020D0AAAAAA
Protirelin 200micrograms/2ml solution for injection ampoules,1,0605010R0AAAAAA
Pancuronium bromide 4mg/2ml solution for injection ampoules,1,1501050L0AAAAAA
Dobutamine 250mg/5ml solution for infusion ampoules,1,0207010D0AAAEAE
Dopexamine 50mg/5ml solution for infusion ampoules,1,0207010Y0AAAAAA
Trimetaphan camsilate 250mg/5ml solution for injection ampoules,1,0205060R0AAAAAA
Isoniazid 50mg/2ml solution for injection ampoules,1,0501090K0AAADAD
Itraconazole 250mg/25ml solution for infusion ampoules and diluent,1,0502010C0AAADAD
Isosorbide dinitrate 10mg/10ml solution for injection ampoules,1,0206010I0AAACAC
Pentagastrin 500micrograms/2ml solution for injection ampoules,1,180400000AABABA
Edrophonium chloride 10mg/1ml solution for injection ampoules,1,1002010H0AAAAAA
Somatorelin 50microgram powder and solvent for solution for injection ampoules,1,0605010ACAAAAAA
Cisatracurium besilate 5mg/2.5ml solution for injection ampoules,1,1501050W0AAAAAA
Cisatracurium besilate 10mg/5ml solution for injection ampoules,1,1501050W0AAABAB
Cisatracurium besilate 20mg/10ml solution for injection ampoules,1,1501050W0AAACAC
Carboprost 250micrograms/1ml solution for injection ampoules,1,0701010D0AAAAAA
Disopyramide 50mg/5ml solution for injection ampoules,1,0203020G0AAAFAF
Lidocaine 200mg/10ml (2%) solution for injection ampoules,1,1502010J0AACECE
Iloprost 100micrograms/1ml solution for infusion ampoules,1,0205010V0AAAAAA
Iloprost 50micrograms/0.5ml solution for infusion ampoules,1,0205010V0AAABAB
Metronidazole 100mg/20ml solution for infusion ampoules,1,0501110C0AAADAD
Progesterone 25mg/1ml solution for injection ampoules,2,0604012S0AAACAC
Phenobarbital 60mg/1ml solution for injection ampoules,1,0408010P0AAAGAG
Phenobarbital 30mg/1ml solution for injection ampoules,1,0408010P0AAAIAI
Liothyronine 20microgram solution for injection ampoules,1,0602010M0AAABAB
Follitropin alfa 37.5unit powder and solvent for solution for injection ampoules,2,0605010I0AAACAC
Ritodrine 50mg/5ml solution for injection ampoules,1,0701030S0AAABAB
Dobutamine 250mg/20ml solution for infusion ampoules,1,0207010D0AAADAD
Chlorpromazine 25mg/1ml solution for injection ampoules,1,0402010D0AAADAD
Phenoxybenzamine 100mg/2ml solution for infusion ampoules,1,0205040M0AAADAD
Dolasetron 12.5mg/0.625ml solution for injection ampoules,1,0406000Z0AAACAC
Doxapram 100mg/5ml solution for injection ampoules,1,0305010W0AAAAAA
Busulfan 60mg/10ml solution for infusion ampoules,1,0801010B0AAAEAE
Ibandronic acid 2mg/2ml solution for infusion ampoules,1,0606020W0AAAAAA
Amsacrine 75mg/1.5ml solution for infusion ampoules and diluent,1,0801050C0AAAAAA
Clindamycin 600mg/4ml solution for injection ampoules,1,0501060E0AAABAB
Argipressin 20units/1ml solution for injection ampoules,1,0605020W0AAAAAA
Atropine 3mg/10ml solution for injection ampoules,1,1501030D0AAAAAA
Bupivacaine 75mg/10ml (0.75%) solution for injection ampoules,1,1502010C0AAAEAE
Danaparoid sodium 750units/0.6ml solution for injection ampoules,1,0208010C0AAAAAA
Desmopressin 15micrograms/1ml solution for injection ampoules,1,0605020E0AABKBK
Ibuprofen 10mg/2ml solution for infusion ampoules,1,0701011F0AAAAAA
Ketamine 50mg/5ml solution for injection ampoules,1,1501010F0AAAEAE
Ketamine 25mg/5ml solution for injection ampoules,1,1501010F0AAAGAG
Ketamine 50mg/2ml solution for injection ampoules,1,1501010F0AAAHAH
Iloprost 10micrograms/1ml nebuliser liquid ampoules,1,0205010V0AAACAC
Ketamine 100mg/2ml solution for injection ampoules,1,1501010F0AAAFAF
Tobramycin 300mg/4ml nebuliser liquid ampoules,1,0501040U0AAAKAK
Dexamethasone (base) 6.6mg/2ml solution for injection ampoules,1,0603020AAAAACAC
"Colecalciferol 25,000units/1ml oral solution unit dose ampoules sugar free",1,0906040G0AADHDH
Esketamine 25mg/5ml solution for injection ampoules,1,1501010R0AAAAAA
Esketamine 50mg/2ml solution for injection ampoules,1,1501010R0AAABAB
Diclofenac 75mg/1ml solution for injection ampoules,1,1001010C0AABMBM
L-arginine 500mg capsules,1,
Amprenavir 150mg capsules,1,0503010I0AAAAAA
DL-Phenylalanine 500mg capsules,1,
Mexiletine hydrochloride 200mg capsules,1,
Docusate 100mg capsules,1,0106020I0AAAKAK
Fenofibrate micronised 200mg capsules,1,0212000P0AAABAB
Fenofibrate micronised 67mg capsules,1,0212000P0AAACAC
Fenofibrate micronised 267mg capsules,1,0212000P0AAADAD
Ipratropium bromide 40microgram inhalation powder capsules,1,0301020I0AAAIAI
Ipratropium bromide 40microgram inhalation powder capsules with device,1,0301020I0AAAHAH
Carbocisteine 375mg capsules,1,0307000J0AAAAAA
Miconazole 1.2g vaginal capsules,1,0702020P0AAAGAG
Tiotropium bromide 18microgram inhalation powder capsules with device,1,0301020Q0AAAAAA
Simeticone 100mg capsules,1,0101010R0AAAAAA
Ascorbic acid 500mg modified-release capsules,1,0906031C0AABABA
Ascorbic acid 100mg capsules,1,090603100BBEAA0
L-Phenylalanine 100mg capsules,1,091101000AADSDS
L-Phenylalanine 25mg capsules,1,091101000AACCCC
Glycine 500mg capsules,1,091101000AAEYEY
"Colecalciferol 2,000unit capsules",1,0906040G0AABABA
"Colecalciferol 50,000unit capsules",1,0906040G0AAEQEQ
"Colecalciferol 20,000unit capsules",1,0906040G0AADRDR
"Colecalciferol 10,000unit capsules",1,0906040G0AADVDV
"Colecalciferol 2,200unit capsules",1,0906040G0AADWDW
Colecalciferol 600unit capsules,1,0906040G0AABFBF
"Colecalciferol 1,000unit capsules",1,0906040G0AABHBH
Cystine 400mg capsules,1,090401000AABVBV
Brompheniramine 12mg modified-release capsules,1,0304010F0AAADAD
Ferric maltol (iron 30mg) capsules,1,0901011Y0AAAAAA
Dexamfetamine 10mg tablets.,1,
Ascorbic acid 300mg chewable tablets,2,
Olmesartan medoxomil 10mg tablets,1,0205052B0AAAAAA
Sevelamer hydrochloride 800mg tablets,1,
Loperamide 2mg oral lyophilisates sugar free,1,
Perindopril erbumine 2mg tablets,1,0205051M0AAAAAA
Perindopril erbumine 4mg tablets,1,0205051M0AAABAB
Aciclovir 200mg dispersible tablets,1,0503021C0AAAGAG
Buprenorphine 400microgram sublingual tablets sugar free,1,0407020B0AAADAD
Buprenorphine 8mg sublingual tablets sugar free,1,0410030A0AAAEAE
Rizatriptan 10mg oral lyophilisates sugar free,1,0407041R0AAACAC
Buprenorphine 200microgram sublingual tablets sugar free,1,0407020B0AAABAB
Buprenorphine 2mg sublingual tablets sugar free,1,0410030A0AAADAD
Olanzapine 10mg oral lyophilisates sugar free,1,040201060AAAFAF
Olanzapine 5mg oral lyophilisates sugar free,1,040201060AAAEAE
Levonorgestrel 750microgram tablets,1,0703050A0AAAAAA
Trihexyphenidyl 5mg tablets,1,0409020C0AAAEAE
Montelukast 5mg chewable tablets sugar free,1,0303020G0AAAAAA
Montelukast 4mg chewable tablets sugar free,1,0303020G0AAACAC
Esomeprazole 20mg gastro-resistant tablets,1,0103050E0AAAAAA
Esomeprazole 40mg gastro-resistant tablets,1,0103050E0AAABAB
Tramadol 50mg soluble tablets sugar free,1,040702040AAAFAF
Propantheline bromide 15mg tablets,1,0102000Y0AAAFAF
Mebendazole 100mg chewable tablets sugar free,1,0505010D0AAADAD
Pseudoephedrine hydrochloride 60mg tablets,1,0310000N0AAACAC
Piroxicam 20mg orodispersible tablets sugar free,1,1001010R0AAAGAG
Olanzapine 15mg oral lyophilisates sugar free,1,040201060AAAKAK
"Nystatin 500,000unit tablets",1,0502030B0AAAIAI
Paracetamol 120mg soluble tablets sugar free,1,0407010H0AAASAS
Paracetamol 250mg orodispersible tablets sugar free,1,0407010H0AADCDC
Nabumetone 500mg dispersible tablets sugar free,1,1001010X0AAACAC
Doxycycline 100mg dispersible tablets sugar free,1,0501030I0AAAEAE
Fenofibrate micronised 160mg tablets,1,0212000P0AAAEAE
Cimetidine 400mg effervescent tablets sugar free,1,0103010D0AAAIAI
Hydrocortisone 2.5mg muco-adhesive buccal tablets sugar free,1,1203010M0AAAAAA
Lamotrigine 5mg dispersible tablets sugar free,1,0408010H0AAAPAP
Lamotrigine 25mg dispersible tablets sugar free,1,0408010H0AAAQAQ
Lamotrigine 100mg dispersible tablets sugar free,1,0408010H0AAAWAW
Carbamazepine 100mg chewable tablets sugar free,1,0408010C0AAAJAJ
Carbamazepine 200mg chewable tablets sugar free,1,0408010C0AAAKAK
Selegiline 1.25mg oral lyophilisates sugar free,1,0409010T0AAAKAK
Diclofenac 50mg dispersible tablets sugar free,1,1001010C0AAAJAJ
Cilostazol 100mg tablets,1,0206040X0AAAAAA
Zolmitriptan 2.5mg orodispersible tablets sugar free,1,0407041Z0AAABAB
Betamethasone 500microgram soluble tablets sugar free,1,0603020C0AAABAB
Chloroquine phosphate 250mg tablets,1,0504010F0AAABAB
Perindopril erbumine 8mg tablets,1,0205051M0AAAFAF
Ibuprofen 200mg orodispersible tablets sugar free,1,1001010J0AABNBN
Amphotericin B 100mg tablets,1,0502030A0AAACAC
Lamotrigine 2mg dispersible tablets sugar free,1,0408010H0AABJBJ
Risperidone 1mg orodispersible tablets sugar free,1,040201030AAALAL
Risperidone 2mg orodispersible tablets sugar free,1,040201030AAAMAM
Lansoprazole 15mg orodispersible tablets,1,0103050L0AAAGAG
Lansoprazole 30mg orodispersible tablets,1,0103050L0AAAHAH
L-Methionine 250mg tablets,1,1902070M0AAAAAA
Ondansetron 4mg oral lyophilisates sugar free,1,0406000S0AAAIAI
Ondansetron 8mg oral lyophilisates sugar free,1,0406000S0AAAJAJ
Yohimbine 5mg tablets,1,0704050Y0AAAVAV
Ranitidine 75mg effervescent tablets sugar free,1,0103010T0AABKBK
Didanosine 25mg dispersible chewable tablets sugar free,1,0503010N0AAACAC
Didanosine 200mg dispersible chewable tablets sugar free,1,0503010N0AAAEAE
Olmesartan medoxomil 20mg tablets,1,0205052B0AAABAB
Olmesartan medoxomil 40mg tablets,1,0205052B0AAACAC
Cimetidine 200mg chewable tablets sugar free,2,0103010D0AAAFAF
Didanosine 150mg dispersible chewable tablets sugar free,2,0503010N0AAADAD
Tramadol 50mg orodispersible tablets sugar free,1,040702040AAATAT
Ibandronic acid 50mg tablets,1,0606020W0AAABAB
Mycophenolic acid 180mg gastro-resistant tablets,1,0802010N0AAAAAA
Mycophenolic acid 360mg gastro-resistant tablets,1,0802010N0AAABAB
Zolmitriptan 5mg orodispersible tablets sugar free,1,0407041Z0AAADAD
Olanzapine 20mg oral lyophilisates sugar free,1,040201060AAAPAP
Lamotrigine 200mg dispersible tablets sugar free,1,0408010H0AABQBQ
Lamotrigine 50mg dispersible tablets sugar free,1,0408010H0AABPBP
Deferasirox 125mg dispersible tablets sugar free,1,0901030K0AAAAAA
Deferasirox 250mg dispersible tablets sugar free,1,0901030K0AAABAB
Deferasirox 500mg dispersible tablets sugar free,1,0901030K0AAACAC
Melperone hydrochloride 100mg tablets,1,0402010AFAAAAAA
"Colecalciferol 1,000unit tablets",1,0906040G0AABGBG
Paracetamol 500mg effervescent tablets,1,0407010H0AADSDS
Tenofovir alafenamide 25mg tablets,1,0503031D0AAAAAA
Fentanyl 50micrograms/hour transdermal patches,1,0407020A0AAAFAF
Fentanyl 75micrograms/hour transdermal patches,1,0407020A0AAAGAG
Fentanyl 25micrograms/hour transdermal patches,1,0407020A0AAAEAE
Fentanyl 100micrograms/hour transdermal patches,1,0407020A0AAAHAH
Estradiol 25micrograms/24hours transdermal patches,1,0604011G0AABABA
Estradiol 40micrograms/24hours transdermal patches,1,0604011G0AABEBE
Estradiol 80micrograms/24hours transdermal patches,1,0604011G0AABGBG
Estradiol 37.5micrograms/24hours transdermal patches,1,0604011G0AABHBH
Estradiol 75micrograms/24hours transdermal patches,1,0604011G0AABRBR
Estradiol 100micrograms/24hours transdermal patches,1,0604011G0AABNBN
Estradiol 50micrograms/24hours transdermal patches,1,0604011G0AABLBL
Buprenorphine 35micrograms/hour transdermal patches,9,0407020B0AAAEAE
Buprenorphine 52.5micrograms/hour transdermal patches,9,0407020B0AAAFAF
Buprenorphine 70micrograms/hour transdermal patches,9,0407020B0AAAGAG
Testosterone 5mg/24hours transdermal patches,1,0604020K0AABCBC
Testosterone 2.5mg/24hours transdermal patches,1,0604020K0AAA8A8
Testosterone 6mg/24hours transdermal patches,2,0604020K0AAA9A9
Clonidine 200micrograms/24hours transdermal patches,1,0205020E0AAAGAG
Oxybutynin 3.9mg/24hours transdermal patches,1,0704020J0AAAUAU
Diclofenac 1% transdermal patches,1,1003020U0AAAFAF
Buprenorphine 5micrograms/hour transdermal patches,1,0407020B0AAAHAH
Buprenorphine 10micrograms/hour transdermal patches,1,0407020B0AAAIAI
Buprenorphine 20micrograms/hour transdermal patches,1,0407020B0AAAJAJ
Fentanyl 12micrograms/hour transdermal patches,1,0407020A0AAAUAU
Rotigotine 2mg/24hours transdermal patches,1,0409010Z0AAAAAA
Rotigotine 4mg/24hours transdermal patches,1,0409010Z0AAABAB
Rotigotine 6mg/24hours transdermal patches,1,0409010Z0AAACAC
Rotigotine 8mg/24hours transdermal patches,1,0409010Z0AAADAD
Clonidine 100micrograms/24hours transdermal patches,1,0205020E0AAAFAF
Clonidine 300micrograms/24hours transdermal patches,1,0205020E0AAAHAH
Testosterone 300micrograms/24hours transdermal patches,1,0604020K0AABLBL
Noradrenaline (base) 160micrograms/ml solution for infusion 500ml bottles,1,
Cocaine 10% solution,1,
Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment,1,
"Adrenaline (base) 1mg/ml (1 in 1,000) topical solution",1,
Aspirin powder,1,0407010B0AABRBR
Furosemide 50mg/5ml oral solution sugar free,1,0202020L0AABPBP
Furosemide 5mg/5ml oral solution sugar free,1,0202020L0AAATAT
Hydrous ointment,1,1302010Y0AAAAAA
Fludroxycortide 0.0125% cream,1,1304000T0AAAAAA
Adrenaline (base) 1% eye drops,1,1106000F0AAADAD
Tetracaine 4% gel,1,1502010A0AAAAAA
Lidocaine 1% gel,1,1502010J0AABMBM
Lidocaine 2% gel,1,1502010J0AAEPEP
Povidone-Iodine 1% mouthwash sugar free,1,1203040M0AAAAAA
Carbaryl 0.5% alcoholic lotion,1,1310040F0AAAAAA
Fludroxycortide 0.0125% ointment,1,1304000T0AABABA
